"locality","period","sample","site","n_seeds","richness","storage_time","weight","Bolboschoenus_maritimus","Damasonium_polyspermum","Elatine_macropoda","Eleocharis_palustris","Ranunculus_trichophyllus","Schoenoplectus_litoralis","Asteraceae","Cyperus_fuscus","Juncus_bufonius","Pycreus_flavescens","Typha_domingensis","Ranunculus_baudotii","Tolypella_sp","Heliotropium_supinum","Cyperaceae","Melilotus_albus","Schoenoplectus_lacustris","Sporobolus_aculeatus","Trifolium_repens","Rumex_dentatus","Carex_sp","Eryngium_sp","Caryophyllaceae","Tolypella_glomerata","Mentha_pulegium"
"El_Hondon","FEB","EH20220210_1","El_Hondon_FEB",7,4,55,6.86,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_2","El_Hondon_FEB",0,0,60,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_3","El_Hondon_FEB",53,1,61,4.42,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_4","El_Hondon_FEB",0,0,68,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_5","El_Hondon_FEB",11,4,69,5.07,0,0,0,1,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_6","El_Hondon_FEB",3,2,70,4.28,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_7","El_Hondon_FEB",0,0,74,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_8","El_Hondon_FEB",1,1,77,5.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_9","El_Hondon_FEB",1,1,82,12.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_10","El_Hondon_FEB",0,0,89,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_11","El_Hondon_FEB",1,1,91,12.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_12","El_Hondon_FEB",1,1,95,5.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_13","El_Hondon_FEB",1,1,96,11.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
